Recipe Title;Energy;Carbs;Protein;Fat;Time;Filters;Preparation;Photo
Aziatische pastasalade met lichtpittige kip & broccoli;600 kcal ;59 gram;39 gram;21 gram;20 min;['aziatisch', 'pasta', 'hoofdgerecht', 'wat eten we vandaag'];['Kook de macaroni in een pan met kokend water en eventueel zout in 10 min. beetgaar. Snijd ondertussen de broccoli in roosjes. Schil de steel en snijd in stukjes van 1 cm. Kook alle delen van de broccoli de laatste 3 min. met de pasta mee. Veeg ondertussen de champignons schoon met keukenpapier en snijd ze in kwarten. Verhit de helft van de olie in een koekenpan en bak de champignons 7 min. op middelhoog vuur.', 'Snijd ondertussen de knoflook fijn. Snijd de kipfilet in blokjes. Verhit de rest van de olie in de hapjespan en bak de kip met de knoflook en shichimi togarashi 5 min. goudbruin en gaar. Maak een dressing van de sesamolie, sojasaus en sushiazijn. Snijd ondertussen de salade-ui in ringetjes. Giet de pasta en broccoli af en meng met de dressing en vervolgens met de kip en champignons. Breng op smaak met peper en eventueel zout. Verdeel over diepe borden en bestrooi met de salade-ui.'];https://static.ah.nl/static/recepten/img_111514_1224x900_JPG.jpg
Panzanella met linzen, gele paprika & mozzarella;690 kcal ;36 gram;19 gram;50 gram;10 min;['zonder vlees/vis', 'italiaans', 'salade', 'hoofdgerecht'];['Verwarm de oven voor op 200 °C. Scheur de ciabattina’s in stukjes van 2 cm en verdeel over een met bakpapier beklede bakplaat. Bak in ca. 15 min. in het midden van de oven goudbruin en krokant. Laat afkoelen.', 'Snijd ondertussen de uien in flinterdunne ringen, doe in een kom en schenk er kokend water over. Laat staan tot gebruik. Snijd de tomaten in parten. Halveer de paprika’s, verwijder de steelaanzet en zaadlijsten, snijd het vruchtvlees in stukken van 2 cm.', 'Snijd de peterselie fijn. Laat de kappertjes en olijven uitlekken. Spoel de linzen in een vergiet onder koud stromend water en laat goed uitlekken.', 'Meng met het geroosterde brood, de balsamicovinaigrette, peterselie, uienringen, tomaten, paprika, olijven, kappertjes en de sla. Verdeel de salade over een grote schaal en verdeel de mozzarella in stukken erover. Besprenkel met de olie en breng op smaak met peper en eventueel zout.'];https://static.ah.nl/static/recepten/img_111516_1224x900_JPG.jpg
Schoolkoek met appelstroop & pecannoten;150 kcal ;14 gram;4 gram;8 gram;10 min;['lactosevrij', 'vooraf te maken', 'oven', 'hollands', 'tussendoortje', 'kindergerecht', 'kinderrecepten'];['Verwarm de oven voor op 180 °C. Maal de havermout fijn in een blender of keukenmachine. Hak de noten grof. Klop de eieren los en meng met de havermout, het amandelmeel, de pecannoten, bakpoeder en een snufje zout. Voeg de appelstroop en koek- en speculaaskruiden toe.', 'Verdeel het beslag over een met bakpapier bekleed bakblik en bak in ca. 25 min. in het midden van de oven goudbruin en gaar Neem uit de oven, laat helemaal afkoelen en snijd in stukken.'];https://static.ah.nl/static/recepten/img_113749_1224x900_JPG.jpg
Lunchsalade met tonijn & parelcouscous;450 kcal ;63 gram;25 gram;10 gram;15 min;['couscous', 'lunch', 'koken'];['Kook de parelcouscous volgens de aanwijzingen op de verpakking.', 'Halveer ondertussen de komkommer in de lengte, verwijder de zaadlijsten en snijd in kleine blokjes van 1 cm (brunoise). Snijd de radijsjes in kwarten en de bleekselderij in boogjes. Snipper de ui fijn.', 'Laat de tonijn en kappertjes uitlekken, maar vang 1 el kappertjesvocht (per 4 personen) op. Meng de kappertjes en het opgevangen kappertjesvocht door de tonijn samen met de yoghurtmayonaise.', 'Meng de parelcouscous, komkommer, radijs, bleekselderij, ui en sla in een grote schaal. Verdeel de tonijn erover.'];https://static.ah.nl/static/recepten/img_113747_1224x900_JPG.jpg
Varkenshaas met gekaramelliseerde wortels & aardappelgratin;765 kcal ;63 gram;42 gram;36 gram;30 min;['oven', 'hoofdgerecht'];['Verwarm de oven voor op 200 °C.', 'Schil ondertussen de bospeen. Kneus de tenen knoflook met een mes en pel ze. Verhit de helft van de boter in een koekenpan met antiaanbaklaag en voeg de wortel toe. Bak op middelhoog vuur in ca. 25 min. gaar. Keer regelmatig. Voeg na 15 min. de honing en gekneusde knoflook toe en zet het vuur laag.', 'Bak ondertussen de aardappelgratin in de ovenschaal volgens de aanwijzingen op de verpakking.', 'Verhit ondertussen de rest van de boter in een koekenpan. Bak de varkenshaas in 2 min. per kant op hoog vuur goudbruin. Zet het vuur lager, voeg de bouillon toe en laat in 15 min. gaar worden. Neem uit de pan en laat 5 min. rusten onder een deksel of aluminiumfolie. Bewaar de jus.', 'Snijd de peterselie fijn. Schep om met de wortels. Snijd de varkenshaas in plakjes. Verdeel de jus over het vlees en serveer met de wortels en gratin.'];https://static.ah.nl/static/recepten/img_113751_1224x900_JPG.jpg
Croissant gevuld met avocado & eitjesalade;500 kcal ;23 gram;10 gram;40 gram;15 min;['oven', 'brunch', 'pasen', 'moederdag', 'valentijn'];[' Verwarm de oven voor op 200 °C. Leg de croissants op een rooster en bak ca. 5 min. in het midden van de oven.', ' Verhit ondertussen een koekenpan zonder olie of boter en bak het ontbijtspek op middelhoog vuur in 5 min. krokant. Neem het ontbijtspek uit de pan en laat uitlekken op keukenpapier.', ' Snijd de avocado overlangs doormidden, verwijder de pit en schep met een lepel het vruchtvlees uit de schil. Snijd de avocado in de breedte in plakken. Snijd de bosui in dunne ringen.', ' Snijd de croissants doormidden. Verdeel de uitgebakken spek, avocado en gevuld eitjesalade erover. Bestrooi met de bosui en dek af met de bovenste helft van de croissant.'];https://static.ah.nl/static/recepten/img_111947_1224x900_JPG.jpg
Sinaasappel-gembercake met romige kokostopping;380 kcal ;37 gram;6 gram;23 gram;15 min;['vooraf te maken', 'oven', 'gebak', 'verjaardag', 'pasen'];['Verwarm de oven voor op 160 °C.', 'Doe de boter in een beslagkom en klop in 5 min. met een mixer tot een luchtige massa. Klop 1 voor 1 de eieren erdoor samen met wat bakmeel. Dit om schiften te voorkomen. Voeg pas een volgend ei toe als het vorige is opgenomen. Mix 200 g confiture kort mee. Mix de rest van het bakmeel en het zout erdoor.', 'Doe het beslag in het ingevette cakeblik en bak de cake in het midden van de oven in ca. 1 uur goudbruin en gaar. Controleer met de satéprikker: steek de prikker in het midden van de cake. Komt de prikker er schoon uit, dan is de cake gaar. Stort de cake uit het bakblik op een rooster en laat afkoelen.', 'Verdeel de kokosyochurt als topping over de bovenkant van de cake. Verdeel de rest van de confiture over de kokosyochurt.'];https://static.ah.nl/static/recepten/img_111950_1224x900_JPG.jpg
Knolselderij-bloemkoolsoep met geroosterde kikkererwten;286 kcal ;23 gram;10 gram;14 gram;25 min;['vegetarisch', 'gezond', 'slank', 'vooraf te maken', 'soep', 'hoofdgerecht', 'koken', 'suikerbewust', 'maaltijdsoep'];[' Verwarm de oven voor op 200 °C. Doe de kikkererwten in een vergiet en spoel af onder koud stromend water. Laat uitlekken en dep droog met keukenpapier. Meng met de paprikapoeder, peper en 1⁄3 van de olie op een met bakpapier beklede bakplaat en rooster ca. 15 min. in het midden van de oven. ', ' Schil ondertussen de knolselderij en snijd in stukken van 2 cm. Snipper de ui en snijd de knoflook fijn. Halveer de grotere bloemkoolroosjes. Ris de blaadjes van de takjes tijm.', '  Verhit de rest van de olie in een soeppan met dikke bodem. Fruit de ui 3 min. Voeg de knolselderij, bloemkool, knoflook en tijm toe en bak 2 min. op middelhoog vuur mee. Voeg het water en de bouillontablet toe, breng aan de kook en laat 10 min. zachtjes koken. Pureer de soep met de staafmixer glad.', 'Verdeel de soep over kommen. Garneer met de geroosterde kikkererwten. Serveer met het stokbrood.'];https://static.ah.nl/static/recepten/img_RAM_PRD127468_1224x900_JPG.jpg
Spaghetti met linzen-tomatensaus & Parmezaanse kaas;570 kcal ;78 gram;23 gram;16 gram;15 min;['zonder vlees/vis', 'snel', 'italiaans', 'pasta', 'hoofdgerecht', 'wat eten we vandaag', 'koken'];['Kook de spaghetti volgens de aanwijzingen op de verpakking.', 'Verhit de olie in een hapjespan en bak de roerbakgroente 3 min. Voeg de gepelde tomaten, de basis voor macaroni en spaghetti en het water toe. Breek de gepelde tomaten met een pollepel in kleinere stukjes. Breng aan de kook en laat op laag vuur 5 min. met de deksel op de pan zachtjes koken.', 'Halveer ondertussen de cherrytomaten. Laat de linzen uitlekken in een vergiet en spoel af. Voeg samen met de tomaten de laatste 3 min. toe aan de saus. Breng op smaak met peper.', 'Meng de spaghetti met de saus en rasp de kaas erover. '];https://static.ah.nl/static/recepten/img_111951_1224x900_JPG.jpg
Bosbessen-camemberttosti met basilicum;375 kcal ;41 gram;15 gram;16 gram;15 min;['zonder vlees/vis', 'frans', 'brood/sandwiches', 'lunch', 'brunch', 'bakken'];['Snijd de camembert in plakken en het basilicum grof. Besmeer één kant van de sneetjes brood met de boter. Beleg de helft van de sneetjes brood op de onbeboterde kant achtereenvolgens met de bosbessenconfiture, camembert en het basilicum. Dek af met de rest van de sneetjes brood met de beboterde kant naar boven en druk stevig aan.', ' Verhit een koekenpan zonder olie of boter en bak per keer 2 tosti’s op één kant op laag vuur in 4 min. krokant. Keer om en bak nog 4 min. Snijd de tosti’s doormidden en serveer direct.'];https://static.ah.nl/static/recepten/img_111945_1224x900_JPG.jpg
